"ENSEMBL","ENTREZID"
"ENSG00000277209","85495"
"ENSG00000276168","6029"
"ENSG00000277027","6023"
"ENSG00000274012","378706"
"ENSG00000278249","677766"
"ENSG00000238741","677767"
"ENSG00000200087","26768"
"ENSG00000185022","23764"
"ENSG00000169564","5093"
"ENSG00000283293","125050"
"ENSG00000087074","23645"
"ENSG00000241343","6173"
"ENSG00000206596","26865"
"ENSG00000206596","124904613"
"ENSG00000206596","124905321"
"ENSG00000206596","124905573"
"ENSG00000206596","124905809"
"ENSG00000207005","26870"
"ENSG00000207005","124904613"
"ENSG00000207005","124905321"
"ENSG00000207005","124905573"
"ENSG00000207005","124905574"
"ENSG00000207005","124905809"
"ENSG00000207389","6060"
"ENSG00000207389","26863"
"ENSG00000207389","124904613"
"ENSG00000207389","124905321"
"ENSG00000207389","124905573"
"ENSG00000207389","124905809"
"ENSG00000273768","124904613"
"ENSG00000273768","124905321"
"ENSG00000273768","124905573"
"ENSG00000273768","124905809"
"ENSG00000150991","7316"
"ENSG00000163659","25976"
"ENSG00000163874","80149"
"ENSG00000162772","467"
"ENSG00000081041","2920"
"ENSG00000142871","3491"
"ENSG00000162231","10482"
"ENSG00000136244","3569"
"ENSG00000164736","64321"
"ENSG00000069399","602"
"ENSG00000168298","3008"
"ENSG00000128016","7538"
"ENSG00000175592","8061"
"ENSG00000239002","692148"
"ENSG00000165030","4783"
"ENSG00000116717","1647"
"ENSG00000151929","9531"
"ENSG00000144655","64651"
"ENSG00000127666","148022"
"ENSG00000276966","8367"
"ENSG00000184260","8338"
"ENSG00000130164","3949"
"ENSG00000274266","6080"
"ENSG00000222328","26855"
"ENSG00000163734","2921"
"ENSG00000160741","200186"
"ENSG00000107372","7763"
"ENSG00000206588","26866"
"ENSG00000206588","124904613"
"ENSG00000206588","124905321"
"ENSG00000206588","124905573"
"ENSG00000206588","124905809"
"ENSG00000206652","26871"
"ENSG00000206652","124904613"
"ENSG00000206652","124905321"
"ENSG00000206652","124905573"
"ENSG00000206652","124905809"
"ENSG00000206737","26863"
"ENSG00000206737","124904613"
"ENSG00000206737","124905321"
"ENSG00000206737","124905573"
"ENSG00000206737","124905809"
"ENSG00000207513","26869"
"ENSG00000207513","124904613"
"ENSG00000207513","124905321"
"ENSG00000207513","124905573"
"ENSG00000207513","124905809"
"ENSG00000275405","124904613"
"ENSG00000275405","124905321"
"ENSG00000275405","124905573"
"ENSG00000275405","124905809"
"ENSG00000136826","9314"
"ENSG00000197111","5094"
"ENSG00000145416","55016"
"ENSG00000238622","692223"
"ENSG00000238795","677777"
"ENSG00000142627","1969"
"ENSG00000173039","5970"
"ENSG00000202538","26834"
"ENSG00000251791","677772"
"ENSG00000060138","8531"
"ENSG00000263740","6030"
"ENSG00000200320","6043"
"ENSG00000267607","123706506"
"ENSG00000128283","11135"
"ENSG00000196428","9819"
"ENSG00000202354","6085"
"ENSG00000124882","2069"
"ENSG00000212232","692086"
"ENSG00000171056","83595"
"ENSG00000108342","1440"
"ENSG00000160271","5900"
"ENSG00000143384","4170"
"ENSG00000143384","574406"
"ENSG00000133874","79845"
"ENSG00000168066","7536"
"ENSG00000124216","6615"
"ENSG00000146278","10957"
"ENSG00000177464","2828"
"ENSG00000128342","3976"
"ENSG00000206585","26864"
"ENSG00000113070","1839"
"ENSG00000136802","56262"
"ENSG00000105851","5294"
"ENSG00000113916","604"
"ENSG00000281000","780854"
"ENSG00000187513","2701"
"ENSG00000202198","125050"
"ENSG00000273542","8362"
"ENSG00000146457","9589"
"ENSG00000166579","81565"
"ENSG00000171223","3726"
"ENSG00000108551","51655"
"ENSG00000168994","221749"
"ENSG00000173812","10209"
"ENSG00000251562","378938"
"ENSG00000175087","149420"
"ENSG00000184205","64061"
"ENSG00000174444","6124"
"ENSG00000070495","23210"
"ENSG00000181649","7262"
"ENSG00000152284","83439"
"ENSG00000006210","6376"
"ENSG00000169246","23117"
"ENSG00000197238","8363"
"ENSG00000134193","83998"
"ENSG00000196866","3013"
"ENSG00000099860","4616"
"ENSG00000270882","8370"
"ENSG00000215301","1654"
"ENSG00000200156","26832"
"ENSG00000207304","654320"
"ENSG00000135334","55122"
"ENSG00000207445","114599"
"ENSG00000196091","4604"
"ENSG00000184270","317772"
"ENSG00000159200","1827"
"ENSG00000252010","677775"
"ENSG00000111912","135112"
"ENSG00000157557","2114"
"ENSG00000196747","8329"
"ENSG00000204256","6046"
